0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:35:31 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:35:31 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:35:48 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:40:58 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:40:59 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:08 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:08 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:10 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:10 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:10 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:41:10 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:37 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:37 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:37 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:37 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:38 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:42:38 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:43:49 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:43:49 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:43:49 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:43:49 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
